,Date,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
24,45393.0,16.0,8.02,11.73,972.7,0.6,5.59,0.123,0.052,8.98
25,45393.0,14.7,8.83,9.87,1006.2,5.6,3.73,0.025,0.043,2.47
26,45393.0,14.2,8.46,12.28,2642.4,9.9,4.95,0.025,0.058,4.96
27,45393.0,14.5,9.03,16.35,26761.6,18.5,10.86,0.342,0.146,2.26
28,45393.0,14.9,8.42,10.72,37459.5,21.5,2.47,0.759,0.033,1.3
29,45393.0,16.0,7.83,8.12,33905.1,133.6,8.86,0.685,0.193,1.15
30,45393.0,14.1,8.38,11.33,1783.6,15.6,8.07,0.025,0.098,4.81
31,45393.0,13.6,8.67,9.78,15880.5,33.7,8.43,0.184,0.137,2.34
32,45393.0,14.9,8.79,14.18,1876.2,15.6,6.53,0.044,0.073,4.86
33,45393.0,13.8,8.38,10.66,551.9,2.2,4.36,0.032,0.015,0.99
34,45393.0,13.6,8.24,8.84,515.2,4.3,2.67,0.025,0.015,1.17
35,45393.0,17.3,8.62,11.37,704.9,4.9,2.24,0.025,0.024,8.92
36,45393.0,16.6,8.25,12.82,828.8,12.7,2.28,0.025,0.03,10.58
37,45393.0,16.7,8.75,12.22,750.9,1.4,6.15,0.025,0.021,
38,45393.0,16.1,8.92,18.96,515.0,5.6,3.37,0.025,0.03,1.24
39,45393.0,17.6,8.48,24.16,621.6,30.1,3.90,0.025,0.036,3.29
40,45393.0,18.7,7.9,8.70,1175.6,13.1,0.55,0.058,0.048,5.66
41,45393.0,19.0,8.28,11.98,961.2,27.4,1.04,0.025,0.013,6.99
42,45393.0,17.0,8.32,6.18,1382.8,21.2,6.95,0.104,0.132,7.71
43,45393.0,12.0,8.87,14.74,561.3,1.8,2.12,0.025,0.014,3.14
44,45393.0,17.5,9.01,15.20,768.5,9.5,4.94,0.047,0.077,1.3
45,45393.0,13.9,9.56,22.07,920.5,7.3,6.84,0.047,0.084,1.19
46,45393.0,12.5,8.17,10.95,497.5,5.5,1.74,0.059,0.029,2.92
47,45393.0,15.2,8.18,11.51,14148.2,1.8,2.60,0.025,0.025,0.77
48,45393.0,16.1,9.04,27.77,12107.5,4.6,8.13,0.125,0.044,2.87
49,45393.0,11.1,8.57,13.41,464.2,2.1,1.12,0.025,0.015,2.28
50,45393.0,13.1,8.44,11.79,776.8,3.8,2.94,0.049,0.014,1.62
51,45393.0,16.5,8.33,10.38,843.1,12.6,2.52,0.051,0.038,3.18
52,45393.0,15.8,8.52,10.01,1127.9,10.5,3.35,0.06,0.032,2.49
53,45393.0,17.0,7.97,12.58,762.3,11.3,5.12,0.025,0.033,3.34
54,45393.0,18.1,8.33,10.58,882.8,2.5,5.45,0.04,0.051,7.95
55,45393.0,19.3,7.69,10.42,1175.1,12.5,3.64,0.054,0.04,9.18
56,45393.0,16.2,8.38,12.49,1121.8,15.3,4.23,0.037,0.028,1.9
57,45393.0,19.6,7.86,10.05,923.8,6.9,3.87,0.035,0.057,5.93
58,45393.0,17.5,8.75,14.59,1001.1,5.6,2.84,0.034,0.049,4.49
59,45393.0,16.5,7.83,9.17,987.5,11.1,3.02,0.073,0.034,3.86
60,45393.0,18.5,8.17,11.32,1052.7,13.2,4.60,0.034,0.068,4.27
61,45393.0,17.0,7.66,9.62,1209.1,38.7,3.25,0.259,0.089,6.98
62,45393.0,19.8,8.69,16.00,1229.7,13.3,4.97,0.108,0.125,7.05
63,45393.0,17.6,8.98,--,1151.7,1.7,4.73,0.044,0.048,6.08
64,45393.0,14.1,8.32,10.76,417.8,6.7,2.30,0.025,0.005,1.17
65,45393.0,16.3,8.1,9.64,880.9,24.8,4.85,0.419,0.076,5.09
66,45393.0,10.7,8.29,11.92,437.4,2.9,2.27,0.025,0.005,1.3
67,45393.0,13.8,8.11,10.38,500.8,16.3,1.29,0.025,0.005,4.62
68,45393.0,15.4,7.97,9.46,592.8,3.3,1.11,0.025,0.005,5.27
69,45393.0,16.9,8.48,13.67,595.6,8.1,2.70,0.025,0.005,3.84
70,45393.0,14.1,8.29,7.25,547.3,21.0,0.95,0.025,0.005,11.26
71,45393.0,16.2,8.1,9.31,1073.9,13.3,,0.087,0.056,0.98
72,45393.0,17.1,8.81,14.00,781.5,8.3,4.00,0.048,0.04,1.07
73,45393.0,16.4,8.52,15.61,868.9,3.9,3.33,0.047,0.052,1.52
74,45393.0,16.5,9.13,18.84,1568.5,5.4,5.15,0.044,0.062,1.19
75,45393.0,16.6,8.3,9.71,282.6,1.1,1.57,0.025,0.005,1.1
76,45393.0,14.2,8.67,13.90,--,8.5,4.11,0.096,0.114,2.0
77,45393.0,15.1,8.05,9.61,288.3,5.0,1.62,0.025,0.005,1.13
78,45393.0,15.5,8.24,13.46,972.3,0.9,5.58,0.105,0.05,5.51
79,45393.0,14.7,8.83,9.87,1006.2,5.6,3.73,0.025,0.041,2.41
80,45393.0,14.2,8.46,12.28,2642.4,9.9,4.86,0.025,0.051,4.88
81,45393.0,14.5,9.03,16.35,26761.6,18.5,11.10,0.342,0.151,2.17
82,45393.0,14.9,8.42,10.72,37459.5,21.5,2.47,0.759,0.033,1.3
83,45393.0,16.0,7.83,8.12,33905.1,133.6,8.86,0.685,0.193,1.15
84,45393.0,14.1,8.38,11.33,1783.6,15.6,6.20,0.025,0.07,4.61
85,45393.0,13.6,8.67,9.78,15880.5,33.7,5.91,0.184,0.104,2.09
86,45393.0,14.9,8.79,14.18,1876.2,15.6,6.53,0.057,0.069,4.73
87,45393.0,13.8,8.38,10.66,551.9,2.2,4.36,0.032,0.015,0.99
88,45393.0,13.6,8.24,8.84,515.2,4.3,2.67,0.025,0.015,1.17
89,45393.0,17.3,8.62,11.37,704.9,4.9,1.76,0.025,0.024,8.5
90,45393.0,16.6,8.25,12.82,828.8,12.7,2.47,0.025,0.029,10.18
91,45393.0,16.7,8.75,12.22,750.9,1.4,6.15,0.025,0.021,
92,45393.0,16.1,8.92,18.96,515.0,5.6,3.35,0.025,0.029,0.96
93,45393.0,17.6,8.48,24.16,621.6,30.1,3.90,0.025,0.036,3.29
94,45393.0,18.7,7.9,8.70,1175.6,13.1,0.55,0.058,0.048,5.66
95,45393.0,19.0,8.28,11.98,961.2,27.4,0.99,0.025,0.017,6.76
96,45393.0,17.4,8.61,10.83,317.7,2.6,1.32,0.025,0.007,1.32
97,45393.0,17.0,8.32,6.18,1382.8,21.2,6.95,0.259,0.139,7.44
98,45393.0,12.0,8.87,14.74,561.3,1.8,2.21,0.025,0.014,3.2
99,45393.0,17.5,9.01,15.20,768.5,9.5,4.78,0.044,0.069,1.24
100,45393.0,13.9,9.56,22.07,920.5,7.3,6.21,0.05,0.061,1.1
101,45393.0,12.5,8.17,10.95,497.5,5.5,1.57,0.059,0.029,2.83
102,45393.0,15.2,8.18,11.51,14148.2,1.8,2.60,0.025,0.024,0.85
103,45393.0,16.1,9.04,27.77,12107.5,4.6,8.26,0.115,0.039,2.85
104,45393.0,11.1,8.57,13.41,464.2,2.1,1.72,0.025,0.011,2.25
105,45393.0,13.1,8.44,11.79,776.8,3.8,2.94,0.049,0.014,1.62
106,45393.0,14.6,8.04,10.68,982.2,19.9,2.58,0.245,0.076,1.97
107,45393.0,13.7,9.24,14.51,2537.1,6.1,5.12,0.039,0.046,3.72
108,45393.0,14.3,8.96,18.61,1999.3,13.3,5.84,0.025,0.075,2.64
109,45393.0,18.3,6.29,5.91,44865.4,6.7,5.29,0.499,0.005,1.7
110,45393.0,17.0,8.32,9.34,587.7,31.2,1.06,0.025,0.026,4.9
111,45393.0,16.9,8.66,10.52,538.1,2.1,0.75,0.025,0.005,4.72
112,45393.0,19.7,8.8,10.31,547.7,59.3,2.66,0.025,0.091,2.15
113,45393.0,19.4,8.58,8.40,880.8,71.6,6.19,0.445,0.112,5.71
114,45393.0,19.4,8.64,8.61,916.3,24.0,3.01,0.216,0.105,8.44
115,45393.0,18.2,8.22,9.73,758.9,15.8,2.84,0.032,0.022,4.41
116,45393.0,20.0,8.5,15.13,1117.2,12.6,4.30,0.034,0.038,7.04
117,45393.0,17.4,8.75,10.90,670.4,6.8,2.37,0.025,0.02,6.77
118,45393.0,18.0,8.22,9.79,583.9,11.1,1.09,0.025,0.02,5.83
119,45393.0,16.6,8.19,9.28,491.4,12.8,1.03,0.025,0.019,3.79
120,45393.0,13.5,8.57,8.82,1214.8,76.1,3.48,0.025,0.064,5.09
121,45393.0,15.3,8.55,10.32,1297.9,49.3,4.20,0.135,0.073,2.39
122,,,,,,,,,,
123,45393.0,13.1,8.39,10.87,718.6,2.0,1.36,0.025,0.018,2.84
124,45393.0,14.1,8.32,7.72,432.6,6.9,1.28,0.025,0.005,2.08
125,45393.0,12.6,8.34,9.14,417.8,59.6,3.82,0.025,0.064,3.17
126,45393.0,14.4,8.56,9.65,923.2,2.3,0.98,0.025,0.005,1.77
127,45393.0,15.5,8.35,10.61,713.2,19.8,3.19,0.025,0.042,4.4
128,45393.0,13.9,8.53,10.76,1367.7,2.5,1.31,0.025,0.018,2.4
129,45393.0,12.8,8.34,8.68,331.8,64.2,4.51,0.034,0.05,2.16
130,45393.0,15.6,8.27,9.92,625.7,19.4,3.57,0.081,0.059,4.62
131,45393.0,15.6,8.48,9.43,850.3,30.8,1.65,0.025,0.052,7.31
132,45393.0,12.4,8.11,12.94,691.1,2.6,1.01,0.025,0.005,6.25
133,45393.0,13.8,8.32,7.14,692.5,4.0,2.90,0.039,0.028,4.97
134,45393.0,16.0,8.3,8.76,719.8,10.6,2.07,0.025,0.032,3.75
135,45393.0,13.2,7.94,8.92,568.2,6.6,2.00,0.025,0.023,6.85
136,45393.0,15.2,9.0,12.50,2873.9,21.8,6.12,0.025,0.052,1.03
137,45393.0,16.0,8.74,15.68,--,22.2,6.76,0.025,0.1,0.91
138,45393.0,13.4,7.82,10.31,40097.4,102.4,3.80,1.329,0.051,2.0
139,45393.0,15.9,8.46,10.73,2030.7,38.3,5.25,0.059,0.058,0.85
140,45393.0,14.7,8.81,14.70,2481.3,22.3,4.16,0.025,0.045,2.78
141,45393.0,16.1,9.53,28.72,1039.6,12.1,4.93,0.042,0.032,0.91
142,45393.0,16.6,8.43,12.92,1066.7,5.5,4.92,0.074,0.07,6.58
143,45393.0,16.6,8.37,10.73,958.2,5.2,4.31,0.098,0.079,6.91
144,45393.0,17.7,7.89,8.85,966.0,10.3,3.39,0.207,0.037,2.24
145,45393.0,16.2,8.89,18.12,883.0,9.3,3.97,0.034,0.053,5.4
146,45393.0,17.5,8.87,21.68,985.7,1.3,4.74,0.079,0.051,3.05
147,45393.0,18.4,9.07,16.45,1234.6,8.8,4.61,0.025,0.044,2.49
148,45393.0,18.7,8.69,8.31,1399.5,33.2,5.04,0.025,0.025,0.61
149,45393.0,17.5,9.19,9.92,339.9,3.7,1.48,0.025,0.009,1.72
150,45393.0,17.7,7.99,10.11,810.3,3.2,3.83,0.046,0.031,3.42
151,45393.0,17.7,8.24,10.66,650.9,2.5,3.61,0.025,0.024,7.76
152,45393.0,16.9,8.33,10.96,1057.3,2.2,4.02,0.085,0.017,0.7
153,45393.0,16.4,8.76,15.24,982.6,5.6,3.70,0.025,0.024,0.89
154,45393.0,17.4,7.97,9.78,802.9,1.4,3.82,0.025,0.021,1.86
155,45393.0,19.0,8.27,13.85,1246.0,21.5,3.72,0.178,0.099,5.18
156,45393.0,9.7,8.44,11.10,817.9,8.1,1.68,0.025,0.005,2.69
157,45393.0,17.5,8.77,13.81,974.1,42.8,5.60,0.027,0.112,6.38
158,45393.0,14.2,8.38,10.93,585.7,13.2,1.55,0.126,0.12,6.87
159,45393.0,11.6,8.49,9.33,1201.8,10.0,3.44,0.222,0.033,2.64
160,45393.0,13.8,8.38,9.42,803.1,79.1,1.56,0.025,0.092,6.99
161,45393.0,17.8,8.27,10.09,1137.9,12.2,3.96,0.025,0.055,0.77
162,45393.0,17.2,8.18,12.71,1921.7,27.1,4.70,0.025,0.084,1.03
163,45393.0,17.6,8.0,9.22,534.8,22.9,2.29,0.025,0.029,3.65
164,45393.0,18.0,7.9,7.54,2350.0,2.8,4.16,0.164,0.119,4.57
165,45393.0,17.9,8.27,8.91,686.6,16.5,1.77,0.025,0.026,4.54
166,45393.0,16.0,8.42,22.61,754.5,35.2,4.65,0.025,0.045,2.95
167,45393.0,9.0,7.84,10.08,710.6,3.0,2.50,0.171,0.02,1.15
168,45393.0,17.8,8.13,9.59,1057.9,67.1,4.51,0.081,0.118,5.67
169,45393.0,13.6,8.07,10.35,517.3,5.2,2.38,0.025,0.012,0.86
170,45393.0,17.2,8.45,11.10,624.0,39.5,2.92,0.025,0.079,2.62
171,45393.0,18.1,8.3,9.17,822.6,5.8,1.22,0.025,0.02,3.77
172,45393.0,11.6,8.55,11.47,562.0,5.2,1.33,0.025,0.007,3.11
173,45393.0,17.4,8.51,11.65,649.1,42.5,5.08,0.025,0.097,3.65
174,45393.0,14.6,8.04,10.67,700.2,8.4,2.68,0.025,0.023,4.19
175,45393.0,17.7,8.01,8.67,585.8,39.7,0.67,0.025,0.034,4.26
176,45393.0,20.8,8.44,9.21,--,66.2,7.95,0.077,0.1,15.4
177,45393.0,19.2,8.12,8.15,1443.6,100.4,7.26,0.025,0.087,5.16
178,45393.0,17.6,8.59,15.71,725.4,22.0,5.41,0.025,0.037,2.35
179,45393.0,17.0,8.28,10.28,902.9,60.3,1.58,0.025,0.035,2.47
180,45393.0,19.5,8.44,9.34,2816.7,177.9,8.14,0.214,0.217,6.21
181,45393.0,20.9,8.22,7.62,780.2,28.4,1.80,0.025,0.041,4.5
182,45393.0,20.5,8.01,16.28,1875.6,30.3,4.82,0.038,0.1,8.0
183,45393.0,14.3,8.14,8.35,1062.5,29.8,4.34,0.327,0.042,6.25
184,45393.0,12.0,7.96,7.90,772.7,33.9,1.91,0.025,0.13,6.43
185,45393.0,20.3,7.72,6.25,959.7,16.7,3.62,0.025,0.151,6.52
186,45393.0,15.1,8.41,10.31,608.7,4.3,2.12,0.025,0.045,3.96
187,45393.0,13.9,8.23,8.95,490.0,38.3,,,,
188,45393.0,15.6,8.41,7.99,872.6,11.6,1.67,0.025,0.027,3.36
189,45393.0,20.4,8.47,10.31,1628.2,24.5,3.70,0.097,0.074,4.64
190,45393.0,20.0,9.15,8.52,743.2,32.7,2.69,0.025,0.047,2.87
191,45393.0,16.6,8.24,7.08,617.2,23.2,2.22,1.052,0.125,5.29
192,45393.0,18.4,8.41,6.80,579.1,2.3,1.44,0.025,0.005,4.17
193,45393.0,20.6,8.77,8.06,1191.3,6.4,3.80,0.026,0.062,3.02
194,45393.0,17.8,8.87,7.70,721.0,49.4,2.78,0.025,0.064,2.34
195,45393.0,20.2,8.67,7.76,1008.8,16.4,3.16,0.025,0.124,4.64
196,45393.0,9.8,8.22,9.56,591.1,1.2,1.41,0.025,0.005,2.2
197,45393.0,20.3,8.18,9.79,1108.6,29.6,5.19,0.456,0.126,4.6
198,45393.0,14.6,8.42,8.80,1029.5,1030.7,3.32,0.032,0.009,2.18
199,45394.0,15.6,8.21,10.01,1059.8,565.3,2.74,0.043,0.025,2.78
200,45394.0,16.8,8.32,9.77,2005.7,65.2,8.85,0.171,0.137,1.82
201,45394.0,14.7,8.33,9.28,1022.1,350.4,3.06,0.025,0.067,2.07
202,45394.0,3.5,7.46,12.07,99.6,9.0,2.51,0.025,0.027,1.02
203,45394.0,8.8,7.72,12.81,85.6,4.6,2.33,0.025,0.015,0.89
204,45394.0,15.2,8.61,10.21,1066.5,259.8,1.85,0.025,0.048,2.86
205,45394.0,16.4,8.79,12.18,--,22.9,7.58,0.025,0.04,1.15
206,45394.0,14.5,8.71,10.15,864.4,87.6,2.28,0.025,0.036,2.45
207,45394.0,10.4,8.33,8.33,770.0,26.0,1.43,0.025,0.015,4.52
208,45394.0,2.9,6.69,11.51,146.7,16.9,9.06,0.123,0.186,1.68
209,45394.0,12.8,7.68,9.90,320.7,174.4,7.07,0.025,0.081,4.26
210,,,,,,,,,,
211,45394.0,18.1,8.57,9.03,1005.7,133.0,1.87,0.187,0.028,2.61
212,45394.0,17.1,8.8,8.85,854.5,56.7,10.52,0.233,0.176,5.98
213,45394.0,14.8,7.74,10.12,723.9,7.3,6.23,0.091,0.106,5.92
214,45394.0,13.4,8.33,9.50,729.9,10.9,3.86,0.028,0.057,3.12
215,45394.0,14.1,8.17,13.76,796.4,5.9,2.51,0.025,0.042,6.04
216,45394.0,13.0,8.59,10.81,650.4,25.2,8.20,0.073,0.068,3.73
217,45394.0,14.0,8.02,14.39,588.2,0.6,2.20,0.043,0.016,0.43
218,45394.0,13.5,8.05,10.41,285.9,5.6,1.22,0.025,0.018,2.45
219,45394.0,15.2,8.86,13.24,516.7,14.0,3.04,0.06,0.051,2.71
220,45394.0,15.2,8.5,12.95,540.6,21.2,3.69,0.025,0.04,4.32
221,45394.0,12.5,7.96,9.51,795.6,4.5,2.01,0.088,0.045,4.65
222,45394.0,10.5,7.5,11.66,132.2,4.1,2.05,0.029,0.018,1.98
223,45394.0,14.1,9.19,10.88,259.4,4.0,1.53,0.027,0.032,2.75
224,45394.0,16.2,8.63,15.10,792.0,15.5,5.62,0.248,0.105,6.39
225,,,,,,,,,,
226,45394.0,11.4,8.5,11.79,318.1,4.7,1.39,0.044,0.033,2.8
227,45394.0,9.6,8.14,10.99,391.9,1.6,0.94,0.025,0.006,3.47
228,45394.0,13.3,8.74,14.74,672.5,24.1,4.12,0.288,0.086,6.4
229,45394.0,6.6,7.74,14.31,254.7,3.5,1.81,0.025,0.014,2.86
230,45394.0,13.2,8.2,9.42,551.2,15.6,1.54,0.071,0.036,5.23
231,45394.0,14.7,8.46,16.83,528.0,2.0,2.03,0.025,0.031,3.19
232,45394.0,12.4,8.74,12.40,287.4,5.2,1.02,0.027,0.024,3.77
233,45394.0,14.0,8.46,10.52,251.2,4.4,1.17,0.025,0.012,3.55
234,45394.0,11.2,8.57,11.45,289.9,7.8,2.48,0.025,0.012,4.27
235,45394.0,10.4,8.93,12.86,191.8,9.3,1.39,0.025,0.008,3.19
236,45394.0,13.8,8.31,12.52,306.6,9.7,1.22,0.034,0.016,2.58
237,45394.0,13.2,8.03,10.22,479.0,8.3,2.55,0.542,0.05,4.78
238,45394.0,8.7,7.45,10.30,339.4,2.0,0.68,0.032,0.01,4.95
239,45394.0,10.4,8.09,10.46,117.7,8.2,0.60,0.025,0.005,3.44
240,45394.0,8.8,7.52,10.49,152.1,3.8,1.79,0.025,0.015,2.31
241,45394.0,11.0,8.7,11.24,228.1,5.8,0.80,0.025,0.017,2.99
242,45394.0,10.9,7.28,11.17,508.0,1.7,0.55,0.089,0.01,3.5
243,,,,,,,,,,
244,45394.0,14.5,8.3,10.24,866.6,22.0,3.10,0.069,0.053,5.81
245,45394.0,13.2,8.1,10.10,848.2,16.7,5.52,0.364,0.11,8.12
246,45394.0,14.4,8.35,11.14,710.7,20.0,3.10,0.025,0.043,8.56
247,45394.0,15.6,8.53,11.19,425.5,8.2,2.65,0.039,0.027,0.56
248,45394.0,11.8,8.28,8.04,1237.6,17.2,2.42,0.077,0.058,13.54
249,45394.0,6.7,7.45,4.22,1111.9,8.9,3.85,0.102,0.077,9.68
250,45394.0,12.7,8.3,12.34,287.1,4.6,1.02,0.035,0.016,5.17
251,45394.0,16.2,8.16,9.45,877.8,12.6,2.52,0.051,0.038,3.18
252,45394.0,15.8,8.52,10.01,1127.9,10.5,3.35,0.06,0.032,2.49
253,45394.0,17.0,7.97,12.58,762.3,11.3,5.12,0.025,0.033,3.34
254,45394.0,18.4,7.79,8.85,861.0,2.6,4.54,0.04,0.051,7.95
255,45394.0,19.3,7.69,10.42,1175.1,12.5,3.64,0.054,0.04,9.18
256,45394.0,16.2,8.38,12.49,1121.8,15.3,4.23,0.037,0.028,1.9
257,45394.0,19.6,7.86,10.05,923.8,6.9,3.87,0.035,0.057,5.93
258,45394.0,17.2,8.44,11.62,1006.3,4.6,2.26,0.034,0.047,4.73
259,45394.0,16.4,7.87,8.76,1064.2,11.1,3.02,0.073,0.034,3.86
260,45394.0,17.8,8.07,10.43,1056.4,14.1,4.51,0.034,0.068,4.27
261,45394.0,17.0,7.66,9.62,1209.1,38.7,3.14,0.259,0.089,6.98
262,45394.0,19.8,8.69,16.00,1229.7,13.3,4.82,0.094,0.125,7.1
263,45394.0,17.6,8.98,--,1151.7,1.7,4.43,0.044,0.048,6.08
264,45394.0,14.5,8.3,10.31,419.2,5.5,2.49,0.025,0.005,1.18
265,45394.0,16.3,8.1,9.64,880.9,24.8,4.85,0.419,0.076,5.09
266,45394.0,11.1,8.27,11.77,437.6,2.8,2.20,0.025,0.005,1.3
267,45394.0,13.7,8.14,10.54,500.3,13.8,1.38,0.025,0.005,4.4
268,45394.0,15.4,7.97,9.46,592.8,3.3,1.22,0.025,0.005,5.3
269,45394.0,16.3,8.46,13.40,596.9,7.8,2.84,0.025,0.005,3.89
270,45394.0,14.1,8.29,7.25,547.3,21.0,1.40,0.025,0.005,10.62
271,45394.0,16.2,8.1,9.31,1073.9,13.3,,0.111,0.059,1.0
272,45394.0,17.0,8.9,12.89,849.7,7.5,4.00,0.048,0.04,1.07
273,45394.0,16.4,8.52,15.61,868.9,3.9,3.12,0.061,0.044,0.5
274,45394.0,16.5,9.13,18.84,1568.5,5.4,4.89,0.044,0.062,1.19
275,45394.0,16.2,8.3,9.73,285.6,1.6,1.52,0.025,0.005,1.17
276,45394.0,14.2,8.67,13.90,--,8.5,4.11,0.096,0.114,2.0
277,45394.0,15.1,8.05,9.61,288.3,5.0,1.62,0.025,0.005,1.13
278,45394.0,15.5,8.24,13.46,972.3,0.9,5.58,0.105,0.05,5.51
279,45394.0,15.0,8.87,10.63,1011.5,4.4,3.73,0.025,0.041,2.41
280,45394.0,14.2,8.46,12.28,2642.4,9.9,4.86,0.025,0.051,4.88
281,45394.0,14.5,9.03,16.35,26761.6,18.5,11.10,0.342,0.151,2.17
282,45394.0,14.9,8.42,10.68,37089.0,22.8,2.68,0.759,0.025,1.25
283,45394.0,16.1,8.08,9.21,19939.4,99.4,4.33,0.685,0.112,1.5
284,45394.0,14.1,8.38,11.33,1783.6,15.6,6.20,0.025,0.07,4.61
285,45394.0,13.6,8.67,9.78,15880.5,33.7,5.91,0.184,0.104,2.09
286,45394.0,14.9,8.79,14.18,1876.2,15.6,5.93,0.057,0.069,4.73
287,45394.0,13.5,8.36,10.52,551.5,2.2,4.36,0.032,0.015,0.99
288,45394.0,13.6,8.24,8.84,515.2,4.3,2.86,0.025,0.017,1.17
289,45394.0,17.3,8.62,11.37,704.9,4.9,1.76,0.025,0.024,8.5
290,45394.0,16.6,8.25,12.82,828.8,12.7,2.47,0.025,0.029,10.18
291,45394.0,16.7,8.75,12.22,750.9,1.4,,0.025,0.018,9.88
292,45394.0,16.1,8.92,18.96,515.0,5.6,3.35,0.025,0.029,0.96
293,45394.0,17.2,8.4,22.97,628.2,26.1,4.09,0.025,0.036,3.29
294,45394.0,18.7,7.91,8.60,1180.5,9.4,0.48,0.058,0.038,5.66
295,45394.0,19.0,8.28,11.98,961.2,27.4,0.99,0.025,0.017,6.76
296,45394.0,17.0,8.57,10.19,319.2,2.7,1.39,0.025,0.007,1.23
297,45394.0,17.0,8.32,6.18,1382.8,21.2,8.11,0.259,0.139,7.44
298,45394.0,12.0,8.87,14.74,561.3,1.8,2.21,0.025,0.014,3.2
299,45394.0,17.5,9.01,15.20,768.5,9.5,4.78,0.044,0.069,1.24
300,45394.0,13.9,9.56,22.07,920.5,7.3,6.21,0.05,0.061,1.1
301,45394.0,12.5,8.17,10.95,497.5,5.5,1.57,0.059,0.029,2.83
302,45394.0,15.2,8.18,11.51,14148.2,1.8,2.58,0.025,0.024,0.85
303,45394.0,16.1,9.04,27.77,12107.5,4.6,8.26,0.115,0.039,2.85
304,45394.0,11.1,8.57,13.41,464.2,2.1,1.72,0.025,0.011,2.25
305,45394.0,13.1,8.44,11.79,776.8,3.8,2.96,0.046,0.017,1.63
306,45394.0,14.6,8.04,10.68,982.2,19.9,2.58,0.245,0.076,1.97
307,45394.0,13.7,9.2,13.87,2508.7,4.9,5.03,0.039,0.042,3.71
308,45394.0,13.8,8.85,17.33,1966.5,12.3,5.87,0.025,0.078,2.84
309,45394.0,18.3,6.29,5.91,44865.4,6.7,5.30,0.499,0.005,1.63
310,45394.0,17.0,8.32,9.34,587.7,31.2,1.06,0.025,0.026,4.9
311,45394.0,16.9,8.66,10.52,538.1,2.1,1.09,0.025,0.005,4.77
312,45394.0,19.7,8.8,10.31,547.7,59.3,2.66,0.025,0.091,2.15
313,45394.0,19.4,8.58,8.40,880.8,71.6,5.51,0.445,0.112,5.71
314,45394.0,19.4,8.64,8.61,916.3,24.0,3.01,0.216,0.105,8.44
315,45394.0,18.2,8.22,9.73,758.9,15.8,2.84,0.032,0.022,4.41
316,45394.0,20.0,8.5,15.13,1117.2,12.6,4.30,0.034,0.038,6.79
317,45394.0,17.4,8.75,10.90,670.4,6.8,2.41,0.025,0.02,6.77
318,45394.0,18.0,8.22,9.79,583.9,11.1,1.09,0.025,0.02,5.83
319,45394.0,16.6,8.19,9.28,491.4,12.8,1.03,0.025,0.019,3.79
320,45394.0,13.5,8.57,8.82,1214.8,76.1,3.45,0.025,0.06,4.9
321,45394.0,15.7,8.56,9.90,1303.0,44.0,4.27,0.221,0.074,3.31
322,,,,,,,,,,
323,45394.0,13.1,8.39,10.87,718.6,2.0,1.36,0.025,0.018,2.88
324,45394.0,14.1,8.32,7.72,432.6,6.9,1.28,0.025,0.005,2.08
